Starting epsilon decay: 0.997755
🔥 New best solution! Steps: 3113. Decay decreased to 0.997461
Episode 125 | Reward: 30.59999999999988 | Steps: 434 | Epsilon: 0.166 | Result: WIN | Decay: 0.993634 | Time: 0.0011s
Episode 126 | Reward: 56.5999999999998 | Steps: 264 | Epsilon: 0.165 | Result: WIN | Decay: 0.993634 | Time: 0.0008s
🔥 New best solution! Steps: 130. Decay decreased to 0.993340
Episode 127 | Reward: 73.59999999999994 | Steps: 130 | Epsilon: 0.163 | Result: WIN | Decay: 0.993340 | Time: 0.0003s
Episode 128 | Reward: 66.19999999999989 | Steps: 222 | Epsilon: 0.162 | Result: WIN | Decay: 0.993340 | Time: 0.0006s
Episode 129 | Reward: 76.19999999999999 | Steps: 140 | Epsilon: 0.161 | Result: WIN | Decay: 0.993340 | Time: 0.0004s
Episode 130 | Reward: 32.799999999999784 | Steps: 412 | Epsilon: 0.160 | Result: WIN | Decay: 0.993340 | Time: 0.0010s
Episode 131 | Reward: 47.99999999999975 | Steps: 296 | Epsilon: 0.159 | Result: WIN | Decay: 0.993340 | Time: 0.0007s
Episode 132 | Reward: 69.59999999999992 | Steps: 134 | Epsilon: 0.158 | Result: WIN | Decay: 0.993340 | Time: 0.0004s
Episode 133 | Reward: 27.399999999999892 | Steps: 466 | Epsilon: 0.157 | Result: WIN | Decay: 0.993340 | Time: 0.0013s
Episode 134 | Reward: 70.1999999999999 | Steps: 164 | Epsilon: 0.156 | Result: WIN | Decay: 0.993340 | Time: 0.0005s
Episode 135 | Reward: 45.39999999999973 | Steps: 349 | Epsilon: 0.155 | Result: WIN | Decay: 0.993340 | Time: 0.0009s
🔥 New best solution! Steps: 117. Decay decreased to 0.993046
Episode 136 | Reward: 81.2 | Steps: 117 | Epsilon: 0.154 | Result: WIN | Decay: 0.993046 | Time: 0.0003s
Episode 137 | Reward: 65.1999999999999 | Steps: 187 | Epsilon: 0.153 | Result: WIN | Decay: 0.993046 | Time: 0.0005s
Episode 138 | Reward: 12.600000000000307 | Steps: 560 | Epsilon: 0.152 | Result: WIN | Decay: 0.993046 | Time: 0.0014s
🔥 New best solution! Steps: 107. Decay decreased to 0.992751
Episode 139 | Reward: 82.20000000000002 | Steps: 107 | Epsilon: 0.151 | Result: WIN | Decay: 0.992751 | Time: 0.0003s
Episode 140 | Reward: 79.19999999999997 | Steps: 137 | Epsilon: 0.150 | Result: WIN | Decay: 0.992751 | Time: 0.0003s
Episode 141 | Reward: 83.20000000000002 | Steps: 115 | Epsilon: 0.148 | Result: WIN | Decay: 0.992751 | Time: 0.0003s
Episode 142 | Reward: 68.1999999999999 | Steps: 202 | Epsilon: 0.147 | Result: WIN | Decay: 0.992751 | Time: 0.0005s
Episode 143 | Reward: 24.79999999999987 | Steps: 429 | Epsilon: 0.146 | Result: WIN | Decay: 0.992751 | Time: 0.0011s
🔥 New best solution! Steps: 96. Decay decreased to 0.992457
Episode 144 | Reward: 86.00000000000001 | Steps: 96 | Epsilon: 0.145 | Result: WIN | Decay: 0.992457 | Time: 0.0004s
Episode 145 | Reward: 71.39999999999992 | Steps: 170 | Epsilon: 0.144 | Result: WIN | Decay: 0.992457 | Time: 0.0009s
Episode 146 | Reward: 83.00000000000003 | Steps: 108 | Epsilon: 0.143 | Result: WIN | Decay: 0.992457 | Time: 0.0004s
