Episode 239 | Reward: 96.90 | Steps: 21 | Epsilon: 0.09 | Result: WIN | Time: 0.00007s
Episode 240 | Reward: 96.50 | Steps: 23 | Epsilon: 0.09 | Result: WIN | Time: 0.00008s
Episode 241 | Reward: 96.90 | Steps: 21 | Epsilon: 0.09 | Result: WIN | Time: 0.00007s
Episode 242 | Reward: 96.10 | Steps: 25 | Epsilon: 0.09 | Result: WIN | Time: 0.00008s
Episode 243 | Reward: 98.10 | Steps: 20 | Epsilon: 0.09 | Result: WIN | Time: 0.00006s
Episode 244 | Reward: 95.30 | Steps: 24 | Epsilon: 0.09 | Result: WIN | Time: 0.00008s
Episode 245 | Reward: 97.40 | Steps: 24 | Epsilon: 0.09 | Result: WIN | Time: 0.00008s
Episode 246 | Reward: 97.30 | Steps: 24 | Epsilon: 0.09 | Result: WIN | Time: 0.00008s
Episode 247 | Reward: 98.10 | Steps: 20 | Epsilon: 0.09 | Result: WIN | Time: 0.00006s
Episode 248 | Reward: 98.10 | Steps: 20 | Epsilon: 0.09 | Result: WIN | Time: 0.00006s
Episode 249 | Reward: 96.10 | Steps: 25 | Epsilon: 0.09 | Result: WIN | Time: 0.00008s
Episode 250 | Reward: 98.10 | Steps: 20 | Epsilon: 0.09 | Result: WIN | Time: 0.00006s
Episode 251 | Reward: 98.10 | Steps: 20 | Epsilon: 0.09 | Result: WIN | Time: 0.00006s
Episode 252 | Reward: 96.90 | Steps: 21 | Epsilon: 0.08 | Result: WIN | Time: 0.00007s
Episode 253 | Reward: 95.70 | Steps: 22 | Epsilon: 0.08 | Result: WIN | Time: 0.00007s
Episode 254 | Reward: 93.70 | Steps: 27 | Epsilon: 0.08 | Result: WIN | Time: 0.00009s
Episode 255 | Reward: 95.70 | Steps: 22 | Epsilon: 0.08 | Result: WIN | Time: 0.00007s
Episode 256 | Reward: 96.50 | Steps: 23 | Epsilon: 0.08 | Result: WIN | Time: 0.00007s
Episode 257 | Reward: 96.90 | Steps: 21 | Epsilon: 0.08 | Result: WIN | Time: 0.00007s
Episode 258 | Reward: 94.70 | Steps: 28 | Epsilon: 0.08 | Result: WIN | Time: 0.00009s
Episode 259 | Reward: 98.10 | Steps: 20 | Epsilon: 0.08 | Result: WIN | Time: 0.00006s
